鏨	錾
瓚	瓒
賍	赃
贓	赃
贜	赃
駔	驵
髒	脏
臟	脏
鑿	凿
棗	枣
竈	灶
則	则
擇	择
澤	泽
責	责
嘖	啧
幘	帻
簀	箦
賾	赜
賊	贼
譖	谮
繒	缯
鋥	锃
贈	赠
軋	轧
閘	闸
鍘	铡
詐	诈
柵	栅
齋	斋
債	债
氈	毡
譫	谵
斬	斩
盞	盏
嶄	崭
輾	辗
戰	战
棧	栈
綻	绽
驏	骣
張	张
漲	涨
帳	帐
脹	胀
賬	账
釗	钊
詔	诏
趙	赵
輒	辄
蟄	蛰
謫	谪
轍	辙
鍺	锗
這	这
鷓	鹧
貞	贞
針	针
偵	侦
